"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"DEM.VRM.WII",4054.24347159084,4056.80161112572,0.000707635139639703,24.161,0.18818753210555,-2017.12173579542,0.349194090032362,0,0,10
"Silt.VRM.WII",4054.24203608326,4056.80017561814,0.000708084671318559,24.268,0.188151419308281,-2017.12101804163,0.349194239821098,0,0,10
"SPIN.VRM.WAT",4054.24666165562,4056.8048011905,0.000706667556804469,24.298,0.188263683653606,-2017.12333082781,0.349193776688938,0,0,10
"Silt.VRM.WAT",4055.37262372056,4057.93076325545,0.000817127113414092,25.062,0.152734361623542,-2017.68631186028,0.349390317508846,0,0,10
"DEM.Silt.VRM.WII",4060.06190518845,4064.44744735712,2.18676499881573e-05,43.825,0.163828388960856,-2017.03095259422,0.349306265975297,0,0,13
"FF.SPIN.VRM.WAT",4060.18379824801,4064.56934041668,1.54240574391653e-05,45.982,0.18027987657998,-2017.091899124,0.34922900030253,0,0,13
"SOMO31.SPIN.VRM.WII",4060.40014904009,4064.78569120877,1.95526318634438e-05,45.995,0.160572702202308,-2017.20007452005,0.349329050375257,0,0,13
"FF.Silt.VRM.WII",4060.18418806752,4064.5697302362,1.54191230741012e-05,46.051,0.180298013082528,-2017.09209403376,0.349228917132077,0,0,13
"FF.SOMO31.VRM.WII",4060.18491462518,4064.57045679386,1.5412620850327e-05,46.053,0.180314788283205,-2017.09245731259,0.349228841842936,0,0,13
"FF.SOMO31.SPIN.VRM",4060.18545416522,4064.57099633389,1.54071604913568e-05,46.155,0.180331427889784,-2017.09272708261,0.349228766413236,0,0,13
"DEM.FF.VRM.WII",4060.31446120872,4064.70000337739,1.67560114292687e-05,46.214,0.169664315303225,-2017.15723060436,0.349281877812847,0,0,13
"DEM.SOMO31.VRM.WII",4060.30640543496,4064.69194760363,1.77956164255368e-05,46.42,0.166883045632398,-2017.15320271748,0.34929468688296,0,0,13
"FF.Silt.VRM.WAT",4060.18625418237,4064.57179635105,1.54000706357943e-05,46.462,0.180349947509691,-2017.09312709119,0.349228684005214,0,0,13
"SPIN.VRM.WAT.WII",4060.42304649577,4064.80858866445,1.70965715275978e-05,47.212,0.165777079299084,-2017.21152324789,0.349303656118125,0,0,13
