"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"DEM.VRM.WII",-3537.54478052776,10,7095.08956105555,7096.93830055135,0.196947327944804,0.757867538294936,-3537.54478052778,13.7804473728975,0.000799279419725573
"SPIN.VRM.WAT",-3537.54496660279,10,7095.08993320559,7096.93867270138,0.197031033472632,0.757914781546454,-3537.54496660279,13.7808195229327,0.000799130707629705
"DEM.SPIN.VRM",-3537.54503241774,10,7095.09006483544,7096.93880433124,0.196750128940608,0.757757222065121,-3537.54503241772,13.7809511527867,0.000799078114631253
"SOMO31.SPIN.VRM",-3537.63023788356,10,7095.26047576713,7097.10921526292,0.192211373077765,0.755374322497676,-3537.63023788356,13.9513620844727,0.000733812275636862
"DEM.Silt.VRM",-3538.07722968689,10,7096.15445937378,7098.00319886957,0.184761789532106,0.751662888928887,-3538.07722968689,14.8453456911229,0.000469309017458507
"VRM.WAT.WII",-3538.96493297584,10,7097.92986595168,7099.77860544748,0.161645654733605,0.739125621793029,-3538.96493297584,16.6207522690274,0.000193167588895095
"SOMO31.VRM.WAT",-3539.09606140502,10,7098.19212281004,7100.04086230584,0.159623007269786,0.738145415131946,-3539.09606140502,16.8830091273912,0.000169428281482119
"FF.SPIN.VRM",-3539.11979553692,10,7098.23959107382,7100.08833056962,0.160993487266851,0.73924059435607,-3539.11979553691,16.9304773911635,0.000165454393240166
"Silt.VRM.WAT",-3539.61993275061,10,7099.23986550119,7101.08860499698,0.157894152219293,0.737811987551378,-3539.61993275059,17.9307518185324,0.000100339393401833
"FF.SOMO31.SPIN.VRM",-3537.73863001788,13,7101.47726003576,7104.61519107024,0.188222083210194,0.753320664004305,-3537.73863001788,21.4573378917921,1.72061234841471e-05
"FF.Silt.VRM.WAT",-3537.73867684145,13,7101.4773536829,7104.61528471738,0.188242233066462,0.753332534004392,-3537.73867684145,21.4574315389318,1.72053178508838e-05
"FF.Silt.VRM.WII",-3537.73868863743,13,7101.47737727489,7104.61530830938,0.18818558045385,0.75329943343513,-3537.73868863745,21.4574551309252,1.72051148982088e-05
"FF.SOMO31.VRM.WII",-3537.73872969252,13,7101.47745938504,7104.61539041953,0.18820385097401,0.753310223201484,-3537.73872969252,21.4575372410736,1.7204408555439e-05
"FF.SPIN.VRM.WAT",-3537.73895128313,13,7101.47790256626,7104.61583360074,0.188165664307489,0.753288349420944,-3537.73895128313,21.4579804222913,1.72005966424305e-05
"Silt.SOMO31.VRM.WII",-3537.74492090334,13,7101.48984180668,7104.62777284116,0.18821836984918,0.753320646696068,-3537.74492090334,21.4699196627062,1.70982214875533e-05
