id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC02163,Roeburne 2,-20.808,117.0725,30/9/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57235,Chichester,507544.434,7699099.593,72,63
DEC02164,Mount Florance 3,-21.7141,117.7755,10/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57274,Chichester,580209.0121,7598616.778,73,41
DEC02165,Bonney Downs 2,-22.1178,119.8772,19/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57315,Chichester,796831.1081,7551326.4,74,32
DEC02166,Bonney Downs,-22.0853,119.7035,21/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57325,Chichester,778965.1191,7555255.666,75,38
DEC02167,Marble Bar 2,-21.3108,119.6042,2/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M57691,Chichester,770156.0899,7641222.302,76,52
DEC02168,Dresser,-21.2181,119.4019,2/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M57693,Chichester,749316.4541,7651822.24,77,67
DEC02169,Dresser,-21.2367,119.4083,2/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M57697,Chichester,749949.6942,7649752.217,78,67
DEC02171,Mount De Courcey,-22.7402,116.4611,21/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57726,Hamersley,444667.0021,7485138.961,79,14
DEC02172,Mount Edith,-22.5714,116.1483,21/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57727,Hamersley,412441.0559,7503675.051,80,25
DEC02174,Rhodes Ridge 2,-23.146,119.2658,14/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57737,Hamersley,731994.2305,7438514.179,81,11
DEC02175,Rhodes Ridge,-23.1032,119.0389,11/5/2005,2005,F,Ningaui timealeyi,Nt,WAM_M57741,Hamersley,708821.1133,7443597.611,82,12
DEC02176,Rhodes Ridge,-23.1032,119.0389,8/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57747,Hamersley,708821.1133,7443597.611,82,12
DEC02178,Mount Minnie 2,-22.1697,115.5608,2/5/2005,2005,F,Ningaui timealeyi,Nt,WAM_M57754,Hamersley,351610.7178,7547686.074,83,37
DEC02179,Marda Pool,-21.0699,116.2069,22/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57873,Roebourne,417610.5304,7669911.296,84,53
DEC02180,Fortescue River,-22.0592,117.6935,19/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57938,Hamersley,571555.1698,7560457.766,85,39
DEC02181,Mount Bruce 4,-22.7161,118.2633,24/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60509,Hamersley,629741.5082,7487354.923,86,15
DEC02182,Mount Bruce 3,-22.6094,118.2992,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60513,Hamersley,633532.1257,7499136.384,87,23
DEC02183,Mount Bruce 3,-22.6214,118.3147,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60520,Hamersley,635113.6919,7497793.829,88,23
DEC02184,Mount Bruce 4,-22.7161,118.2633,28/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60526,Hamersley,629741.5082,7487354.923,86,15
DEC02185,Peedamulla 2,-21.8417,115.5825,11/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M60575,Roebourne,353511.7422,7584020.203,89,77
DEC02188,Coongan River,-20.9231,119.6103,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61034,Chichester,771494.5329,7684153.448,90,56
DEC02189,Mount Bruce 4,-22.7225,118.2683,27/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61684,Hamersley,630249.0109,7486641.965,91,15
DEC02191,Mount Bruce 2,-22.6219,118.3511,27/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61692,Hamersley,638854.5574,7497704.987,92,23
DEC02192,Wheelarra Hill 4,-23.4986,120.2911,21/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61723,Augustus,836152.3912,7397431.276,93,1
DEC02193,Wheelarra Hill 3,-23.4711,120.215,21/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61731,Augustus,828442.1034,7400655.285,94,1
DEC02195,Wheelarra Hill 2,-23.28,120.1761,20/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61736,Fortescue,824931.5583,7421921.878,95,6
