id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion
DEC02212,Warramboo Creek 2,-21.7319,115.8072,30/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56784,Hamersley
DEC02213,Warramboo Creek,-21.6892,115.8431,29/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56792,Hamersley
DEC02214,Warramboo Creek,-21.6892,115.8431,28/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56801,Hamersley
DEC02215,Peedamulla,-21.9481,115.83,28/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56802,Hamersley
DEC02217,Peedamulla 3,-21.9131,115.7172,26/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M56816,Hamersley
DEC02219,Peedamulla 3,-21.8983,115.7036,24/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56836,Hamersley
DEC02220,Lake Poongkaliyarra 2,-20.9399,117.0348,30/9/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57232,Chichester
DEC02221,Roeburne,-20.7364,117.0989,30/9/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57236,Chichester
DEC02222,Lake Poongkaliyarra,-20.9346,117.1151,1/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57245,Chichester
DEC02224,Mount Florance 3,-21.7141,117.7755,9/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57266,Chichester
DEC02225,Mount Florance 2,-21.8562,117.9798,9/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57270,Fortescue
DEC02226,Mount Florance,-21.795,117.857,10/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57273,Chichester
DEC02231,Coolawanyah,-21.8822,117.7945,13/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57290,Fortescue
DEC02232,Coolawanyah,-21.8822,117.7945,14/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57295,Fortescue
DEC02233,Bonney Downs 2,-22.1178,119.8772,17/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57305,Chichester
DEC02236,Mile,-22.6907,119.7747,18/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57310,Fortescue
DEC02240,Cowra Line,-22.3614,119.0068,1/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57919,Fortescue
